policy,episodes,cumulative_reward,episode_length,win_proxy,loss_proxy,timeout_proxy,attack_share,defend_share,skill_share,skill_blocked_share,skill_wasted_per_episode,defend_success_rate,tempo_bonus_triggered_per_episode,action_diversity,enemy_damage_per_step,player_damage_per_step,damage_prevented_per_step,failure_mode
RandomPolicy,1000,1.406340,4.388000,0.807000,0.193000,0.000000,0.378077,0.387420,0.234503,0.000000,0.199000,1.000000,0.728000,0.876669,5.648587,4.338423,1.988377,"Random policy has high diversity but poor timing."
AttackSpamPolicy,1000,1.005000,3.408000,0.785000,0.215000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.333334,7.011150,6.083333,0.000000,"Attack spam ignores high-threat defend tempo and pays extra damage penalty."
SkillSpamPolicy,1000,1.536994,3.000000,1.000000,0.000000,0.000000,0.666667,0.000000,0.333333,0.666667,0.000000,0.000000,0.000000,0.666668,8.009334,5.661000,0.000000,"Skill spam still avoids the waste penalty."
DefendHeavyPolicy,1000,1.373620,4.776000,0.776000,0.224000,0.000000,0.581240,0.418761,0.000000,0.000000,0.000000,1.000000,1.776000,0.666668,5.554229,4.693677,1.403894,"Defend-heavy converts prevention into tempo often enough."
ContextPolicy,1000,2.101917,3.775000,1.000000,0.000000,0.000000,0.438940,0.296159,0.264901,0.000000,0.000000,1.000000,1.118000,1.000000,6.906490,3.327152,2.397086,"Context policy uses threat defense and tempo attacks as intended."
